constituency_name,region,intl_students_firstyear,gross_benefit,costs,net_benefit,net_benefit_per_resident,region_impact,boundary_note
Maidenhead,South East,210,23985480.71,2278880.25,21706600.47,210,3571691172.66,pre-2024 boundaries
Maidstone and Malling,South East,270,30573042.32,2904769.89,27668272.42,250,3571691172.66,pre-2024 boundaries
Makerfield,North West,75,8835456.38,862033.81,7973422.57,80,3042886993.32,pre-2024 boundaries
Maldon,East of England,50,5342141.72,539472.22,4802669.51,50,2304881140.55,pre-2024 boundaries
Manchester Central,North West,2765,336622140.07,32842634.56,303779505.51,2490,3042886993.32,pre-2024 boundaries
Manchester Rusholme,North West,3690,449733477.68,43878374.29,405855103.39,3660,3042886993.32,pre-2024 boundaries
Manchester Withington,North West,750,91635055.02,8940400.13,82694654.89,910,3042886993.32,pre-2024 boundaries
Mansfield,East Midlands,175,19943502.58,1781668.43,18161834.15,170,2527384329.97,pre-2024 boundaries
Melksham and Devizes,South West,80,9770778.26,893416.97,8877361.29,100,2156405285.39,pre-2024 boundaries
Melton and Syston,East Midlands,115,13094218.86,1169782.3,11924436.57,130,2527384329.97,pre-2024 boundaries
Meriden and Solihull East,West Midlands,125,14282823.99,1321757.26,12961066.74,130,3089054238.61,pre-2024 boundaries
Merthyr Tydfil and Aberdare,Wales,130,12196483.97,1418654.23,10777829.74,110,1258810595.29,pre-2024 boundaries
Mid Bedfordshire,East of England,510,52814355.68,5333418.51,47480937.16,480,2304881140.55,pre-2024 boundaries
Mid Buckinghamshire,South East,90,10430305.87,990991.94,9439313.93,100,3571691172.66,pre-2024 boundaries
Mid Cheshire,North West,65,7741959.3,755346.45,6986612.85,70,3042886993.32,pre-2024 boundaries
Mid Derbyshire,East Midlands,75,8712691.78,778355.15,7934336.64,90,2527384329.97,pre-2024 boundaries
Mid Dorset and North Poole,South West,65,7641949.47,698761.88,6943187.6,70,2156405285.39,pre-2024 boundaries
Mid Dunbartonshire,Scotland,650,70222785.19,7927067.31,62295717.88,650,4211398343.47,pre-2024 boundaries
Mid Leicestershire,East Midlands,175,20245676.86,1808663.4,18437013.46,180,2527384329.97,pre-2024 boundaries
Mid Norfolk,East of England,70,7325209.48,739730.84,6585478.64,70,2304881140.55,pre-2024 boundaries
Mid Sussex,South East,125,14061910.35,1336033.67,12725876.68,130,3571691172.66,pre-2024 boundaries
Mid Ulster,Northern Ireland,340,29549292.08,3881829.99,25667462.08,240,952763278.06,pre-2024 boundaries
Mid and South Pembrokeshire,Wales,85,8018058.91,932633.8,7085425.1,70,1258810595.29,pre-2024 boundaries
Middlesbrough South and East Cleveland,North East,135,14319513.19,1338725.72,12980787.47,140,1787629850.23,pre-2024 boundaries
Middlesbrough and Thornaby East,North East,2340,246605237.95,23055027.85,223550210.1,2010,1787629850.23,pre-2024 boundaries
Midlothian,Scotland,350,37481434.47,4231074.76,33250359.71,340,4211398343.47,pre-2024 boundaries
Milton Keynes Central,South East,985,112368598.9,10676232.99,101692365.91,810,3571691172.66,pre-2024 boundaries
